Employment_Type,Education_Level,Job_Stability_Years,Family_Dependents,Monthly_Income,District,House_Ownership_Status,Vehicle_Ownership,Active_Bank_Accounts,Average_Monthly_Expenses,Existing_EMI_Burden,Emergency_Savings_Availability,Utility_Bill_Payment_Regularity,score_income,score_employment,score_education,score_job_stability,score_dependents,score_district,score_credit,score_sentiment,Repayment_Score,repayment_score_out_of_500,repayment_score_percent
Labour,12th,9.33,0,78916,Karimnagar,Family,None,2,19873,21279,No,Always On Time,78.92,60.0,75.0,46.65,100.0,80.0,73.04,60.0,71.7,358.5,71.7
Gig Worker,10th,10.12,4,68221,Rangareddy,Family,None,1,4955,11104,No,Always On Time,68.22,75.0,65.0,50.6,33.33,80.0,83.72,60.0,64.48,322.42,64.48
Trader,Postgraduate,9.22,3,12528,Nizamabad,Family,2W,2,6472,822,No,Sometimes Late,12.53,85.0,100.0,46.1,50.0,80.0,93.44,60.0,65.88,329.42,65.88
Government,12th,5.02,3,42197,Mahabubabad,Family,2W,3,21074,12138,No,Always On Time,42.2,100.0,75.0,25.1,50.0,80.0,71.24,60.0,62.94,314.71,62.94
Labour,12th,2.59,4,112487,Karimnagar,Family,Car,2,43835,27761,No,Regularly Late,100.0,60.0,75.0,12.95,33.33,80.0,75.32,60.0,62.08,310.38,62.08
Government,Graduate,19.1,3,96927,Kamareddy,Rent,2W,3,26244,3223,No,Sometimes Late,96.93,100.0,85.0,95.5,50.0,80.0,96.67,60.0,83.01,415.06,83.01
Farmer,Postgraduate,8.25,3,11815,Hyderabad,Rent,2W,2,6921,751,No,Regularly Late,11.82,70.0,100.0,41.25,50.0,80.0,93.64,60.0,63.34,316.69,63.34
Trader,Postgraduate,8.18,4,78209,Nalgonda,Family,None,4,42264,37930,Yes,Regularly Late,78.21,85.0,100.0,40.9,33.33,80.0,51.5,60.0,66.12,330.59,66.12
Labour,Graduate,4.33,5,45881,Bhadradri Kothagudem,Own,Car,4,17571,8855,Yes,Always On Time,45.88,60.0,85.0,21.65,16.67,80.0,80.7,90.0,59.99,299.94,59.99
Trader,Graduate,13.22,2,96331,Medak,Rent,None,4,33451,37500,No,Regularly Late,96.33,85.0,85.0,66.1,66.67,80.0,61.07,60.0,75.02,375.11,75.02
Labour,Graduate,10.27,0,96566,Siddipet,Own,Car,1,42550,25413,Yes,Always On Time,96.57,60.0,85.0,51.35,100.0,80.0,73.68,90.0,79.57,397.87,79.57
Labour,10th,15.13,4,84572,Mahbubnagar,Own,None,1,24349,23287,No,Always On Time,84.57,60.0,65.0,75.65,33.33,80.0,72.47,60.0,66.38,331.89,66.38
Trader,Postgraduate,17.35,4,51392,Siddipet,Own,2W,1,5752,22059,No,Sometimes Late,51.39,85.0,100.0,86.75,33.33,80.0,57.08,60.0,69.19,345.97,69.19
Labour,10th,5.71,5,106675,Nizamabad,Rent,Car,4,48994,27509,No,Regularly Late,100.0,60.0,65.0,28.55,16.67,80.0,74.21,60.0,60.55,302.77,60.55
Gig Worker,Graduate,4.01,4,102234,Rangareddy,Family,2W,1,24936,7037,No,Sometimes Late,100.0,75.0,85.0,20.05,33.33,80.0,93.12,60.0,68.31,341.56,68.31
Government,10th,14.7,4,17778,Bhadradri Kothagudem,Own,Car,1,5073,862,Yes,Regularly Late,17.78,100.0,65.0,73.5,33.33,80.0,95.15,60.0,65.6,327.98,65.6
Government,10th,15.96,0,52719,Warangal,Rent,Car,3,3029,3774,No,Always On Time,52.72,100.0,65.0,79.8,100.0,80.0,92.84,60.0,78.8,393.98,78.8
Government,10th,1.74,0,48173,Nizamabad,Family,2W,2,20409,9741,No,Regularly Late,48.17,100.0,65.0,8.7,100.0,80.0,79.78,60.0,67.71,338.53,67.71
Farmer,Graduate,12.36,5,50475,Kamareddy,Family,2W,1,3832,12719,No,Sometimes Late,50.48,70.0,85.0,61.8,16.67,80.0,74.8,60.0,62.34,311.71,62.34
Labour,Postgraduate,19.69,0,82278,Mahbubnagar,Own,Car,3,4404,25088,Yes,Always On Time,82.28,60.0,100.0,98.45,100.0,80.0,69.51,90.0,85.03,425.15,85.03
Gig Worker,Postgraduate,3.38,4,57847,Hyderabad,Own,Car,2,12673,27604,No,Always On Time,57.85,75.0,100.0,16.9,33.33,80.0,52.28,60.0,59.42,297.1,59.42
Labour,10th,12.43,1,49867,Nizamabad,Own,Car,3,25894,18487,No,Regularly Late,49.87,60.0,65.0,62.15,83.33,80.0,62.93,60.0,65.41,327.05,65.41
Government,10th,3.04,1,91314,Khammam,Own,Car,4,17059,20800,Yes,Regularly Late,91.31,100.0,65.0,15.2,83.33,80.0,77.22,60.0,71.51,357.54,71.51
Labour,Graduate,17.81,1,16483,Mahabubabad,Own,Car,1,6071,7072,No,Sometimes Late,16.48,60.0,85.0,89.05,83.33,80.0,57.1,60.0,66.37,331.85,66.37
Farmer,Graduate,2.7,0,25429,Mahabubabad,Rent,2W,4,11440,12460,No,Regularly Late,25.43,70.0,85.0,13.5,100.0,80.0,51.0,60.0,60.62,303.08,60.62
Gig Worker,10th,12.41,2,52610,Nalgonda,Family,None,4,11600,6005,No,Sometimes Late,52.61,75.0,65.0,62.05,66.67,80.0,88.59,60.0,68.74,343.7,68.74
Farmer,12th,9.81,5,103796,Siddipet,Family,2W,4,29578,21672,No,Always On Time,100.0,70.0,75.0,49.05,16.67,80.0,79.12,60.0,66.23,331.15,66.23
Farmer,Graduate,9.45,0,12270,Mancherial,Rent,2W,4,6204,952,Yes,Sometimes Late,12.27,70.0,85.0,47.25,100.0,80.0,92.24,60.0,68.35,341.73,68.35
Farmer,12th,10.42,3,58239,Mahabubabad,Own,None,4,30094,24748,No,Sometimes Late,58.24,70.0,75.0,52.1,50.0,80.0,57.51,60.0,62.86,314.28,62.86
Gig Worker,Postgraduate,7.14,3,102931,Medchal,Own,None,4,12219,30897,No,Sometimes Late,100.0,75.0,100.0,35.7,50.0,80.0,69.98,60.0,71.34,356.68,71.34
Labour,10th,4.55,5,37018,Rangareddy,Own,Car,1,5611,15197,Yes,Sometimes Late,37.02,60.0,65.0,22.75,16.67,80.0,58.95,60.0,50.05,250.24,50.05
Government,12th,3.94,1,15195,Khammam,Own,Car,2,6997,4083,Yes,Sometimes Late,15.2,100.0,75.0,19.7,83.33,80.0,73.13,60.0,63.29,316.47,63.29
Trader,10th,5.27,1,17492,Medchal,Family,2W,2,7292,5234,No,Always On Time,17.49,85.0,65.0,26.35,83.33,80.0,70.08,60.0,60.91,304.53,60.91
Gig Worker,Graduate,9.76,5,23696,Medak,Rent,None,1,7921,7597,No,Sometimes Late,23.7,75.0,85.0,48.8,16.67,80.0,67.94,60.0,57.14,285.69,57.14
Trader,12th,16.1,1,37946,Hyderabad,Own,2W,4,10729,7018,No,Sometimes Late,37.95,85.0,75.0,80.5,83.33,80.0,81.51,60.0,72.91,364.55,72.91
Farmer,12th,14.33,5,60661,Medak,Rent,None,2,19850,10591,No,Sometimes Late,60.66,70.0,75.0,71.65,16.67,80.0,82.54,60.0,64.56,322.82,64.56
Labour,Graduate,3.74,4,113077,Jagtial,Own,Car,3,37205,4233,Yes,Regularly Late,100.0,60.0,85.0,18.7,33.33,80.0,96.26,60.0,66.66,333.31,66.66
Labour,Graduate,6.29,2,63430,Medak,Rent,Car,2,14471,23022,Yes,Always On Time,63.43,60.0,85.0,31.45,66.67,80.0,63.71,90.0,67.53,337.66,67.53
Labour,Graduate,10.91,3,15505,Bhadradri Kothagudem,Family,2W,1,8619,6981,No,Always On Time,15.5,60.0,85.0,54.55,50.0,80.0,54.98,60.0,57.5,287.52,57.5
Trader,12th,19.34,5,115368,Nizamabad,Family,Car,4,41025,49449,Yes,Sometimes Late,100.0,85.0,75.0,96.7,16.67,80.0,57.14,60.0,71.31,356.57,71.31
Gig Worker,12th,16.44,5,28891,Hyderabad,Family,2W,1,16815,12042,Yes,Sometimes Late,28.89,75.0,75.0,82.2,16.67,80.0,58.32,60.0,59.51,297.55,59.51
Gig Worker,12th,5.12,4,51649,Adilabad,Rent,Car,4,29754,20128,No,Regularly Late,51.65,75.0,75.0,25.6,33.33,80.0,61.03,60.0,57.7,288.51,57.7
Trader,Graduate,4.99,5,75663,Bhadradri Kothagudem,Rent,Car,2,19937,24582,No,Sometimes Late,75.66,85.0,85.0,24.95,16.67,80.0,67.51,60.0,61.85,309.24,61.85
Farmer,12th,16.69,1,86323,Khammam,Own,None,3,32879,39107,No,Sometimes Late,86.32,70.0,75.0,83.45,83.33,80.0,54.7,60.0,74.1,370.5,74.1
Gig Worker,Postgraduate,8.91,1,70046,Rangareddy,Family,Car,4,9980,6109,Yes,Sometimes Late,70.05,75.0,100.0,44.55,83.33,80.0,91.28,60.0,75.53,377.63,75.53
Government,12th,12.96,0,63922,Mancherial,Family,Car,3,31142,13260,No,Sometimes Late,63.92,100.0,75.0,64.8,100.0,80.0,79.26,60.0,77.87,389.36,77.87
Labour,Postgraduate,19.04,0,30343,Mancherial,Own,None,3,6902,14385,Yes,Always On Time,30.34,60.0,100.0,95.2,100.0,80.0,52.59,90.0,76.02,380.09,76.02
Gig Worker,10th,17.43,1,104206,Adilabad,Family,Car,1,42881,51451,No,Sometimes Late,100.0,75.0,65.0,87.15,83.33,80.0,50.63,60.0,75.14,375.69,75.14
Trader,10th,3.76,1,110402,Jagtial,Rent,Car,4,51343,14571,Yes,Sometimes Late,100.0,85.0,65.0,18.8,83.33,80.0,86.8,60.0,72.37,361.83,72.37
Labour,12th,2.47,1,24743,Warangal,Own,Car,3,3878,3033,No,Always On Time,24.74,60.0,75.0,12.35,83.33,80.0,87.74,60.0,60.4,301.98,60.4
Farmer,12th,1.06,3,30711,Kamareddy,Rent,2W,1,11553,2359,Yes,Sometimes Late,30.71,70.0,75.0,5.3,50.0,80.0,92.32,60.0,57.92,289.58,57.92
Trader,Graduate,4.55,3,65291,Jagtial,Own,None,2,34906,29013,Yes,Sometimes Late,65.29,85.0,85.0,22.75,50.0,80.0,55.56,60.0,62.95,314.75,62.95
Trader,Graduate,4.97,5,91373,Mahbubnagar,Family,Car,1,43156,33033,No,Regularly Late,91.37,85.0,85.0,24.85,16.67,80.0,63.85,60.0,63.34,316.71,63.34
Farmer,12th,2.13,3,37113,Mancherial,Own,2W,1,17014,496,No,Sometimes Late,37.11,70.0,75.0,10.65,50.0,80.0,98.66,60.0,60.18,300.89,60.18
Trader,10th,18.59,1,63694,Medchal,Rent,Car,2,3522,28164,No,Always On Time,63.69,85.0,65.0,92.95,83.33,80.0,55.78,60.0,73.22,366.1,73.22
Farmer,Graduate,0.04,4,79518,Kamareddy,Own,2W,1,27097,2240,Yes,Always On Time,79.52,70.0,85.0,0.2,33.33,80.0,97.18,90.0,66.9,334.52,66.9
Government,Graduate,18.71,5,31901,Jagtial,Rent,Car,1,11041,1561,Yes,Regularly Late,31.9,100.0,85.0,93.55,16.67,80.0,95.11,60.0,70.28,351.39,70.28
Trader,10th,9.74,5,61844,Mahbubnagar,Family,Car,3,30706,28127,No,Always On Time,61.84,85.0,65.0,48.7,16.67,80.0,54.52,60.0,58.97,294.83,58.97
Trader,10th,17.04,4,25542,Siddipet,Own,2W,3,4720,8574,No,Always On Time,25.54,85.0,65.0,85.2,33.33,80.0,66.43,60.0,62.56,312.82,62.56
Government,12th,5.64,1,111166,Adilabad,Own,None,3,64041,54376,No,Always On Time,100.0,100.0,75.0,28.2,83.33,80.0,51.09,60.0,72.2,361.01,72.2
Gig Worker,12th,9.64,3,81920,Mahabubabad,Family,2W,2,42609,13224,No,Regularly Late,81.92,75.0,75.0,48.2,50.0,80.0,83.86,60.0,69.25,346.24,69.25
Labour,Graduate,11.14,2,52762,Karimnagar,Family,Car,1,17030,15937,No,Sometimes Late,52.76,60.0,85.0,55.7,66.67,80.0,69.8,60.0,66.24,331.2,66.24
Gig Worker,Graduate,4.65,2,38516,Nalgonda,Own,None,1,21089,7672,No,Regularly Late,38.52,75.0,85.0,23.25,66.67,80.0,80.08,60.0,63.56,317.82,63.56
Trader,Graduate,3.27,4,8557,Rangareddy,Family,Car,1,4483,2620,Yes,Always On Time,8.56,85.0,85.0,16.35,33.33,80.0,69.39,90.0,58.45,292.27,58.45
Government,12th,2.81,5,15323,Medchal,Family,2W,3,8662,2518,Yes,Always On Time,15.32,100.0,75.0,14.05,16.67,80.0,83.57,90.0,59.33,296.63,59.33
Trader,Postgraduate,8.95,1,102321,Siddipet,Own,None,3,15405,4573,No,Regularly Late,100.0,85.0,100.0,44.75,83.33,80.0,95.53,60.0,81.08,405.38,81.08
Government,12th,13.75,2,24212,Medchal,Rent,2W,4,8653,5881,Yes,Regularly Late,24.21,100.0,75.0,68.75,66.67,80.0,75.71,60.0,68.79,343.96,68.79
Farmer,Postgraduate,3.22,1,23935,Siddipet,Own,2W,2,12300,3383,Yes,Sometimes Late,23.94,70.0,100.0,16.1,83.33,80.0,85.87,60.0,64.9,324.52,64.9
Trader,Postgraduate,0.2,4,13938,Nalgonda,Family,2W,1,5104,2162,Yes,Sometimes Late,13.94,85.0,100.0,1.0,33.33,80.0,84.49,60.0,57.22,286.1,57.22
Government,10th,6.75,3,54177,Nizamabad,Own,None,3,7781,18779,Yes,Sometimes Late,54.18,100.0,65.0,33.75,50.0,80.0,65.34,60.0,63.53,317.67,63.53
Government,Postgraduate,5.87,3,39249,Mancherial,Family,2W,3,10909,2763,No,Sometimes Late,39.25,100.0,100.0,29.35,50.0,80.0,92.96,60.0,68.94,344.72,68.94
Gig Worker,12th,15.87,3,54418,Hyderabad,Rent,None,4,18343,22703,No,Regularly Late,54.42,75.0,75.0,79.35,50.0,80.0,58.28,60.0,66.51,332.53,66.51
Gig Worker,10th,12.38,5,14027,Warangal,Rent,None,3,4055,156,No,Sometimes Late,14.03,75.0,65.0,61.9,16.67,80.0,98.89,60.0,58.94,294.68,58.94
Farmer,Postgraduate,0.84,0,85838,Adilabad,Family,2W,3,10290,20845,No,Always On Time,85.84,70.0,100.0,4.2,100.0,80.0,75.72,60.0,71.97,359.85,71.97
Farmer,Postgraduate,14.24,5,117198,Rangareddy,Rent,None,1,31535,52817,No,Always On Time,100.0,70.0,100.0,71.2,16.67,80.0,54.93,60.0,69.1,345.5,69.1
Farmer,Postgraduate,3.04,2,116578,Jagtial,Rent,None,4,38939,25415,Yes,Sometimes Late,100.0,70.0,100.0,15.2,66.67,80.0,78.2,60.0,71.26,356.29,71.26
Farmer,Postgraduate,8.83,1,65768,Warangal,Own,Car,3,34093,14649,Yes,Regularly Late,65.77,70.0,100.0,44.15,83.33,80.0,77.73,60.0,72.62,363.11,72.62
Trader,10th,13.15,4,117509,Hyderabad,Own,Car,1,13550,18440,Yes,Sometimes Late,100.0,85.0,65.0,65.75,33.33,80.0,84.31,60.0,71.67,358.37,71.67
Gig Worker,Postgraduate,10.1,5,118177,Adilabad,Rent,None,3,70203,47043,Yes,Always On Time,100.0,75.0,100.0,50.5,16.67,80.0,60.19,90.0,71.54,357.72,71.54
Labour,10th,18.13,0,32211,Jagtial,Family,2W,1,4450,1631,No,Always On Time,32.21,60.0,65.0,90.65,100.0,80.0,94.94,60.0,72.85,364.25,72.85
Government,12th,0.08,1,97968,Nizamabad,Family,None,4,16480,33460,No,Always On Time,97.97,100.0,75.0,0.4,83.33,80.0,65.85,60.0,70.32,351.59,70.32
Government,12th,4.39,5,47827,Mahabubabad,Family,2W,4,21194,8234,Yes,Always On Time,47.83,100.0,75.0,21.95,16.67,80.0,82.78,90.0,64.28,321.39,64.28
Government,10th,18.36,1,115404,Hyderabad,Own,2W,1,41764,21083,No,Regularly Late,100.0,100.0,65.0,91.8,83.33,80.0,81.73,60.0,82.73,413.67,82.73
Farmer,Postgraduate,13.04,0,33417,Medchal,Rent,Car,1,16711,15329,Yes,Sometimes Late,33.42,70.0,100.0,65.2,100.0,80.0,54.13,60.0,70.34,351.72,70.34
Trader,Graduate,1.04,1,95825,Jagtial,Own,2W,4,25394,19727,No,Always On Time,95.82,85.0,85.0,5.2,83.33,80.0,79.41,60.0,71.72,358.61,71.72
Trader,10th,13.66,2,20227,Mancherial,Rent,2W,2,8896,5929,Yes,Sometimes Late,20.23,85.0,65.0,68.3,66.67,80.0,70.69,60.0,64.49,322.43,64.49
Government,Postgraduate,5.77,0,65110,Siddipet,Own,Car,4,19057,8065,No,Always On Time,65.11,100.0,100.0,28.85,100.0,80.0,87.61,60.0,77.7,388.48,77.7
Farmer,10th,16.53,5,74642,Hyderabad,Own,2W,1,16767,11596,No,Regularly Late,74.64,70.0,65.0,82.65,16.67,80.0,84.46,60.0,66.68,333.39,66.68
Trader,12th,13.53,0,29979,Nizamabad,Family,2W,1,4047,10845,Yes,Sometimes Late,29.98,85.0,75.0,67.65,100.0,80.0,63.83,60.0,70.18,350.91,70.18
Farmer,Postgraduate,5.11,5,107539,Adilabad,Rent,None,3,38573,13387,Yes,Sometimes Late,100.0,70.0,100.0,25.55,16.67,80.0,87.55,60.0,67.47,337.36,67.47
Labour,Graduate,1.67,1,77094,Warangal,Rent,None,1,42016,25833,No,Regularly Late,77.09,60.0,85.0,8.35,83.33,80.0,66.49,60.0,65.03,325.17,65.03
Farmer,Graduate,7.17,3,47321,Siddipet,Own,Car,1,27305,17893,No,Sometimes Late,47.32,70.0,85.0,35.85,50.0,80.0,62.19,60.0,61.29,306.47,61.29
Farmer,Graduate,6.4,3,23470,Karimnagar,Own,2W,1,12396,6037,No,Always On Time,23.47,70.0,85.0,32.0,50.0,80.0,74.28,60.0,59.34,296.72,59.34
Labour,Postgraduate,19.71,4,96951,Nalgonda,Own,Car,3,14117,12890,Yes,Sometimes Late,96.95,60.0,100.0,98.55,33.33,80.0,86.7,60.0,76.94,384.71,76.94
Gig Worker,10th,2.22,2,72354,Kamareddy,Family,None,2,19313,36166,No,Sometimes Late,72.35,75.0,65.0,11.1,66.67,80.0,50.02,60.0,60.02,300.09,60.02
Government,Graduate,14.85,3,26623,Medak,Rent,None,1,10886,6893,Yes,Always On Time,26.62,100.0,85.0,74.25,50.0,80.0,74.11,90.0,72.5,362.49,72.5
Farmer,10th,18.33,0,109681,Siddipet,Family,None,4,52067,20766,Yes,Always On Time,100.0,70.0,65.0,91.65,100.0,80.0,81.07,90.0,84.71,423.57,84.71
Farmer,12th,2.5,5,81922,Warangal,Rent,None,1,42486,17896,No,Always On Time,81.92,70.0,75.0,12.5,16.67,80.0,78.16,60.0,59.28,296.4,59.28
Government,10th,1.0,4,96544,Medak,Family,Car,2,40746,39724,No,Regularly Late,96.54,100.0,65.0,5.0,33.33,80.0,58.85,60.0,62.34,311.71,62.34
Gig Worker,12th,6.19,1,30222,Medak,Rent,2W,4,12960,13732,Yes,Sometimes Late,30.22,75.0,75.0,30.95,83.33,80.0,54.56,60.0,61.13,305.67,61.13
Gig Worker,12th,7.23,0,103493,Rangareddy,Family,2W,4,61990,2085,Yes,Regularly Late,100.0,75.0,75.0,36.15,100.0,80.0,97.99,60.0,78.02,390.08,78.02
Farmer,10th,10.33,1,95082,Hyderabad,Own,Car,2,10795,39304,Yes,Always On Time,95.08,70.0,65.0,51.65,83.33,80.0,58.66,90.0,74.22,371.08,74.22
Farmer,12th,11.71,5,40091,Karimnagar,Family,Car,4,8611,13934,Yes,Sometimes Late,40.09,70.0,75.0,58.55,16.67,80.0,65.24,60.0,58.19,290.97,58.19
Farmer,12th,2.01,4,76313,Siddipet,Rent,None,1,40615,12831,Yes,Regularly Late,76.31,70.0,75.0,10.05,33.33,80.0,83.19,60.0,60.99,304.93,60.99
Trader,Postgraduate,4.23,4,93327,Bhadradri Kothagudem,Family,2W,1,21461,27875,No,Always On Time,93.33,85.0,100.0,21.15,33.33,80.0,70.13,60.0,67.87,339.34,67.87
Farmer,Graduate,11.28,5,13991,Karimnagar,Family,Car,4,6379,919,No,Regularly Late,13.99,70.0,85.0,56.4,16.67,80.0,93.43,60.0,59.44,297.18,59.44
Government,Postgraduate,2.04,2,108117,Kamareddy,Family,Car,1,9767,42918,No,Always On Time,100.0,100.0,100.0,10.2,66.67,80.0,60.3,60.0,72.15,360.73,72.15
Farmer,12th,14.23,5,55811,Siddipet,Own,2W,3,32134,7650,No,Always On Time,55.81,70.0,75.0,71.15,16.67,80.0,86.29,60.0,64.37,321.83,64.37
Trader,Graduate,4.85,4,51008,Medak,Rent,Car,3,24516,4168,No,Sometimes Late,51.01,85.0,85.0,24.25,33.33,80.0,91.83,60.0,63.8,319.01,63.8
Farmer,12th,18.94,3,23476,Hyderabad,Family,None,2,7383,2844,No,Always On Time,23.48,70.0,75.0,94.7,50.0,80.0,87.89,60.0,67.63,338.16,67.63
Government,10th,3.87,3,10518,Mancherial,Own,None,1,3519,170,Yes,Always On Time,10.52,100.0,65.0,19.35,50.0,80.0,98.38,90.0,64.16,320.78,64.16
Gig Worker,Graduate,19.39,2,81348,Nizamabad,Rent,None,4,34121,2687,Yes,Regularly Late,81.35,75.0,85.0,96.95,66.67,80.0,96.7,60.0,80.21,401.04,80.21
Labour,12th,13.49,0,115526,Mahabubabad,Own,None,1,49014,24492,No,Always On Time,100.0,60.0,75.0,67.45,100.0,80.0,78.8,60.0,77.66,388.28,77.66
Trader,12th,13.38,3,59670,Khammam,Family,None,2,30265,6804,No,Always On Time,59.67,85.0,75.0,66.9,50.0,80.0,88.6,60.0,70.65,353.23,70.65
Government,Postgraduate,9.82,3,74038,Mancherial,Rent,2W,1,6109,4620,No,Always On Time,74.04,100.0,100.0,49.1,50.0,80.0,93.76,60.0,75.86,379.31,75.86
Trader,10th,14.21,2,81269,Nizamabad,Own,2W,3,34422,30140,No,Sometimes Late,81.27,85.0,65.0,71.05,66.67,80.0,62.91,60.0,71.49,357.44,71.49
Gig Worker,Postgraduate,15.62,3,39134,Jagtial,Rent,2W,3,19166,6910,Yes,Sometimes Late,39.13,75.0,100.0,78.1,50.0,80.0,82.34,60.0,70.57,352.86,70.57
Farmer,12th,0.91,1,84979,Mahabubabad,Rent,Car,4,24360,38155,Yes,Sometimes Late,84.98,70.0,75.0,4.55,83.33,80.0,55.1,60.0,64.12,320.6,64.12
Trader,Graduate,11.83,0,114460,Karimnagar,Rent,None,1,51583,36920,Yes,Regularly Late,100.0,85.0,85.0,59.15,100.0,80.0,67.74,60.0,79.61,398.06,79.61
Gig Worker,Graduate,4.28,5,12594,Nalgonda,Own,2W,4,7095,4391,No,Sometimes Late,12.59,75.0,85.0,21.4,16.67,80.0,65.14,60.0,51.97,259.87,51.97
Farmer,12th,4.07,5,104756,Bhadradri Kothagudem,Own,Car,2,9497,49283,No,Sometimes Late,100.0,70.0,75.0,20.35,16.67,80.0,52.95,60.0,59.37,296.86,59.37
Trader,Postgraduate,12.14,2,32747,Nalgonda,Own,Car,2,4795,6757,No,Always On Time,32.75,85.0,100.0,60.7,66.67,80.0,79.37,60.0,70.56,352.8,70.56
Gig Worker,10th,4.39,4,33291,Warangal,Family,2W,3,10067,9394,Yes,Sometimes Late,33.29,75.0,65.0,21.95,33.33,80.0,71.78,60.0,55.04,275.22,55.04
Government,Postgraduate,14.96,4,109847,Adilabad,Rent,None,2,48654,12012,No,Sometimes Late,100.0,100.0,100.0,74.8,33.33,80.0,89.06,60.0,79.65,398.25,79.65
Government,Postgraduate,1.61,0,88517,Khammam,Own,None,1,39187,23067,No,Always On Time,88.52,100.0,100.0,8.05,100.0,80.0,73.94,60.0,76.31,381.57,76.31
Labour,Postgraduate,9.41,1,56744,Mancherial,Rent,Car,4,29081,12554,No,Always On Time,56.74,60.0,100.0,47.05,83.33,80.0,77.88,60.0,70.63,353.13,70.63
Labour,12th,15.36,0,40835,Hyderabad,Rent,Car,4,4982,8094,Yes,Always On Time,40.84,60.0,75.0,76.8,100.0,80.0,80.18,90.0,75.35,376.76,75.35
Labour,Postgraduate,11.21,3,55127,Kamareddy,Own,Car,1,7031,22702,No,Sometimes Late,55.13,60.0,100.0,56.05,50.0,80.0,58.82,60.0,65.0,325.0,65.0
Farmer,Graduate,10.04,0,52913,Mahabubabad,Own,Car,1,10657,17353,Yes,Regularly Late,52.91,70.0,85.0,50.2,100.0,80.0,67.21,60.0,70.66,353.32,70.66
Gig Worker,12th,11.37,0,44303,Jagtial,Family,Car,1,3750,7784,Yes,Always On Time,44.3,75.0,75.0,56.85,100.0,80.0,82.43,90.0,75.45,377.24,75.45
Farmer,Graduate,12.33,1,97204,Kamareddy,Family,None,2,31974,45848,Yes,Sometimes Late,97.2,70.0,85.0,61.65,83.33,80.0,52.83,60.0,73.75,368.76,73.75
Government,12th,6.77,0,42330,Karimnagar,Family,2W,3,11871,12521,No,Sometimes Late,42.33,100.0,75.0,33.85,100.0,80.0,70.42,60.0,70.2,351.0,70.2
Farmer,10th,4.22,2,75213,Rangareddy,Family,2W,3,13322,23135,Yes,Always On Time,75.21,70.0,65.0,21.1,66.67,80.0,69.24,90.0,67.15,335.76,67.15
Government,Graduate,2.4,3,114359,Kamareddy,Family,Car,3,40787,35262,No,Sometimes Late,100.0,100.0,85.0,12.0,50.0,80.0,69.17,60.0,69.52,347.6,69.52
Farmer,Postgraduate,5.87,5,60264,Mahbubnagar,Family,Car,1,23440,13191,Yes,Regularly Late,60.26,70.0,100.0,29.35,16.67,80.0,78.11,60.0,61.8,309.0,61.8
Gig Worker,10th,6.01,4,15725,Bhadradri Kothagudem,Family,None,2,6883,5489,Yes,Sometimes Late,15.72,75.0,65.0,30.05,33.33,80.0,65.1,60.0,53.03,265.13,53.03
Labour,12th,2.17,3,89475,Adilabad,Rent,2W,2,15684,15811,No,Regularly Late,89.48,60.0,75.0,10.85,50.0,80.0,82.33,60.0,63.46,317.28,63.46
Farmer,10th,5.74,3,115208,Medchal,Own,2W,1,34435,28120,Yes,Always On Time,100.0,70.0,65.0,28.7,50.0,80.0,75.59,90.0,69.91,349.56,69.91
Gig Worker,Postgraduate,8.89,5,102580,Nalgonda,Own,2W,3,53420,12995,Yes,Always On Time,100.0,75.0,100.0,44.45,16.67,80.0,87.33,90.0,74.18,370.91,74.18
Farmer,Postgraduate,5.01,2,105605,Warangal,Own,None,3,54398,17870,No,Regularly Late,100.0,70.0,100.0,25.05,66.67,80.0,83.08,60.0,73.1,365.5,73.1
Trader,Graduate,13.29,0,30677,Warangal,Rent,Car,3,3589,2003,No,Always On Time,30.68,85.0,85.0,66.45,100.0,80.0,93.47,60.0,75.07,375.37,75.07
Gig Worker,Graduate,8.26,5,62551,Adilabad,Rent,None,4,15273,3493,No,Sometimes Late,62.55,75.0,85.0,41.3,16.67,80.0,94.42,60.0,64.37,321.83,64.37
Labour,Graduate,19.73,1,36170,Karimnagar,Family,2W,1,4762,8349,No,Always On Time,36.17,60.0,85.0,98.65,83.33,80.0,76.92,60.0,72.51,362.54,72.51
Farmer,Graduate,4.99,2,34536,Mahabubabad,Rent,Car,3,13969,4492,No,Always On Time,34.54,70.0,85.0,24.95,66.67,80.0,86.99,60.0,63.52,317.59,63.52
Government,Graduate,18.66,2,72754,Kamareddy,Family,2W,1,32368,29523,No,Always On Time,72.75,100.0,85.0,93.3,66.67,80.0,59.42,60.0,77.14,385.71,77.14
Labour,Graduate,13.97,4,106295,Mahabubabad,Family,2W,2,46616,51454,No,Always On Time,100.0,60.0,85.0,69.85,33.33,80.0,51.59,60.0,67.47,337.36,67.47
Trader,Postgraduate,18.33,3,12375,Adilabad,Own,2W,4,4538,1625,Yes,Sometimes Late,12.38,85.0,100.0,91.65,50.0,80.0,86.87,60.0,70.74,353.68,70.74
Government,Postgraduate,7.84,0,13951,Adilabad,Own,2W,2,4236,3683,No,Sometimes Late,13.95,100.0,100.0,39.2,100.0,80.0,73.6,60.0,70.84,354.22,70.84
Trader,12th,2.34,1,85158,Mahabubabad,Rent,Car,1,21303,36822,No,Sometimes Late,85.16,85.0,75.0,11.7,83.33,80.0,56.76,60.0,67.12,335.6,67.12
